City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Midland,US,2022-04-06 23:07:06,31.9974,-102.0779,72.05,15,0,14.97
270,Atar,MR,2022-04-06 23:07:06,20.5169,-13.0499,76.35,22,5,12.5
271,Guerrero Negro,MX,2022-04-06 23:08:07,27.9769,-114.0611,73.56,44,0,14.47
272,Taguatinga,BR,2022-04-06 23:08:07,-12.3857,-46.5711,81.61,43,51,5.23
273,Sibolga,ID,2022-04-06 23:08:07,1.7427,98.7792,75.96,86,100,3.02
274,Kandiaro,PK,2022-04-06 23:08:08,27.0601,68.2091,88.39,16,4,9.86
275,Paamiut,GL,2022-04-06 23:03:12,61.994,-49.6678,28.11,95,87,4.43
276,Hami,CN,2022-04-06 23:08:08,42.8,93.45,60.04,17,1,2.51
277,Lagoa,PT,2022-04-06 23:06:28,39.05,-27.9833,60.89,86,100,25.88
278,Lyngseidet,NO,2022-04-06 23:08:09,69.5763,20.2189,30.2,85,100,6.6
279,Buraydah,SA,2022-04-06 23:08:09,26.326,43.975,77.5,10,5,8.52
280,Quatre Cocos,MU,2022-04-06 23:08:09,-20.2078,57.7625,74.08,78,69,13.76
281,Haines Junction,CA,2022-04-06 23:08:10,60.7522,-137.5108,36.84,63,91,5.03
282,Fortuna,US,2022-04-06 23:08:10,40.5982,-124.1573,67.91,54,0,14.97
283,Samarai,PG,2022-04-06 23:08:10,-10.6167,150.6667,82.85,73,99,14.36
284,Sao Paulo De Olivenca,BR,2022-04-06 23:08:11,-3.3783,-68.8725,75.27,90,69,0.89
285,Cidreira,BR,2022-04-06 23:08:11,-30.1811,-50.2056,68.61,76,13,13.04
286,Channel-Port Aux Basques,CA,2022-04-06 23:08:11,47.5702,-59.1367,31.78,92,41,13.53
287,Yatou,CN,2022-04-06 23:08:12,37.15,122.3833,44.19,55,10,5.32
288,Cabo San Lucas,MX,2022-04-06 23:05:12,22.8909,-109.9124,78.62,58,0,12.66
289,Churapcha,RU,2022-04-06 23:08:12,62.0025,132.4325,12.27,86,100,7.29
290,Edd,ER,2022-04-06 23:08:12,13.9297,41.6925,87.33,26,0,15.57
